activity	size	net.sales	cost.of.goods.and.services	cost.of.labor	depreciation	financial.expenses	interest	EBIT	EBITDA	net.income	assets	equity	debt	cash	lt.assets	st.assets	total.oper.liabilities	st.oper.liabilities	lt.liabilities	st.liabilities	inventories	FFO	OCF	credit.score	total.oper.liabilities/assets	current.ratio	lt.sales.growth	st.sales.growth	lt.ebit.margin.change	net.debt/EBITDA	equity.ratio	TIE	ROA	public	id	activity.id	activity.ime	Arguments
G	S	4452971	3731359	512073	137740	40575	40575	74770	212510	76073	2944805	1433088	987933	6514	331297	2613508	523784	523784	255754	1255963	591167	213813	213574	E	17.8	2.08	-7.3	-11.8	0.3	4.62	0.49	1.84	2.7	FALSE	MEDITRADE, Podjetje za zunanjo in notranjo trgovino d.o.o.	46.19	NESPECIALIZIRANO POSREDNISTVO PRI PRODAJI RAZNOVRSTNIH IZDELKOV	?
C	S	4700929	3437757	952881	225148	24296	24296	56248	281396	39443	2312369	602538	201036	119570	856100	1456269	1508233	884125	624108	1085161	207833	260781	-38337	A	65.2	1.34	5.3	0.1	0.8	0.29	0.26	2.32	2.3	FALSE	TKG IN PROIZVODNJA VIJAKOV d.o.o.	25.93	PROIZVODNJA IZDELKOV IZ ZICE, VERIG IN VZMETI	?
F	S	4922354	3279555	1112289	215840	25034	25034	64757	280597	45285	4158345	1439467	1446867	898	1987527	2156138	1118807	1069375	1283677	1281997	512663	238105	125220	E	26.9	1.68	8.5	-5.2	0.5	5.15	0.35	2.59	1.5	FALSE	KAGER HISA podjetje za proizvodnjo in montazo his d.o.o.	41.2	GRADNJA STANOVANJSKIH IN NESTANOVANJSKIH STAVB	?
C	M	13492242	12048683	1106973	220246	122187	122187	87386	307632	-19384	9004959	3020658	2339568	2623	4794072	4201805	3013982	2950982	253162	5290550	37205	200567	-187404	E	33.5	0.79	-7.4	-8.3	1.9	7.60	0.34	0.72	0.9	FALSE	FARME IHAN - MPR, mesna proizvodnja in razsekovalnica d.o.o.	10.11	PROIZVODNJA MESA, RAZEN PERUTNINSKEGA	?
G	S	8817549	7854278	582055	104868	75935	75935	269142	374010	155277	3618992	851023	1376638	33624	434452	3173616	1391138	1391138	677297	2090479	707400	251294	282897	A	38.4	1.52	0.0	7.8	-4.0	3.59	0.24	3.54	7.3	FALSE	ACTINIA, trgovska in storitvena druzba d.o.o.	46.71	TRGOVINA NA DEBELO S TRDIMI, TEKOCIMI IN PLINASTIMI GORIVI	?
C	M	22139166	16509569	2628459	1188686	246432	0	1636089	2824775	1165380	18958814	6900050	9200000	430892	12345915	6612899	2683144	2683144	8264737	3643144	2464109	1165380	1647894	A	14.2	1.82	8.9	2.4	4.9	3.10	0.36	100.00	8.4	FALSE	MERCATOR-EMBA proizvodnja hrane, d.d.	10.82	PROIZVODNJA KAKAVA, COKOLADE IN SLADKORNIH IZDELKOV	?
I	L	24093024	11947428	8116824	3476398	1274439	0	258259	3734657	-2935599	70392056	39004380	27371558	2124900	60199808	9882562	2821928	2778014	27326196	2867290	892676	540799	280954	E	4.0	3.45	-1.3	-4.1	-15.6	6.76	0.55	100.00	0.4	FALSE	ISTRABENZ TURIZEM d.d., turizem in storitve	55.1	DEJAVNOST HOTELOV IN PODOBNIH NASTANITVENIH OBRATOV	?
M	S	3986339	1854286	953407	294660	1074746	1074746	1018262	1312922	12367	21742360	4076914	15575352	12701	6004410	15609565	2064779	2064779	5653899	11986232	13912296	307027	440863	E	9.5	1.30	-11.8	4.8	5.4	11.85	0.19	0.95	4.5	FALSE	ZIL INZENIRING, druzba za razvoj, inzeniring in vodenje investicij, d.d.	71.129	DRUGE INZENIRSKE DEJAVNOSTI IN TEHNICNO SVETOVANJE	?
K	L	1858000	3455000	1699000	2038000	28421000	8691000	-155000	1883000	-11381000	248316992	15117000	226810992	227000	227374000	20886000	5349000	5349000	231000	232144992	0	-11257000	-15905000	E	2.2	0.09	-40.3	-40.6	-4.5	30.00	0.06	0.00	-0.1	FALSE	SAVA, druzba za upravljanje in financiranje, d.d.	64.2	DEJAVNOST HOLDINGOV	?
L	M	10100813	3931444	4169172	626288	80359	80359	1306314	1932602	1184414	15893418	10926382	1772917	157927	8732394	7132156	3170766	3165349	1203334	3740349	7530	1521013	2465263	A	20.0	1.91	1.6	2.9	5.9	0.84	0.69	16.26	8.4	FALSE	SPL LJUBLJANA d.d., poslovanje z nepremicninami in inzeniring	68.32	UPRAVLJANJE NEPREMICNIN ZA PLACILO ALI PO POGODBI	?
C	M	8398484	5181646	1977810	675396	135997	135997	425171	1100567	452237	8825956	3899182	3309671	210508	2790230	6035726	1379573	1379573	2916086	1773158	755571	1103982	1224714	A	15.6	3.40	6.5	0.0	-0.3	2.82	0.44	3.13	5.1	FALSE	TEHNOS Podjetje za proizvodnjo orodij, strojev in predelavo plasticnih mas d.o.o. Zalec	22.29	PROIZVODNJA DRUGIH IZDELKOV IZ PLASTICNIH MAS	?
L	S	1855498	694067	957008	116351	655543	655543	82231	198582	-586899	2326310	-258036	2084360	2695	1895730	410168	499607	499607	1974449	609518	0	-506618	-440205	E	21.5	0.67	-7.7	-31.8	-8.1	10.48	-0.11	0.13	3.4	FALSE	GIMAS druzba za trgovino in storitve d.o.o.	68.1	TRGOVANJE Z LASTNIMI NEPREMICNINAMI	?
I	L	61916000	32401000	21282000	10734000	2476000	2473000	-2474000	8260000	670000	162526992	93484000	46848000	411000	145828000	15930000	8448000	8448000	43594000	11702000	687000	10763000	10873000	E	5.2	1.36	49.3	-4.5	2.8	5.62	0.58	0.00	-1.5	FALSE	Sava Turizem d.d.	55.1	DEJAVNOST HOTELOV IN PODOBNIH NASTANITVENIH OBRATOV	?
F	S	1373294	1155644	215343	96515	68834	68834	-49131	47384	-86715	3851031	451230	2114028	208	3710480	137083	1275061	1275061	714487	2674602	27166	-55617	1438222	E	33.1	0.05	-44.5	-82.5	-4.5	30.00	0.12	0.00	-0.9	FALSE	FASADE, druzba za vodenje investicij, d.o.o.	41.2	GRADNJA STANOVANJSKIH IN NESTANOVANJSKIH STAVB	?
D	L	167241344	165616496	1170110	212915	3819971	0	409236	622151	-2202476	45547696	15371581	17650658	429504	30538202	2540040	6612922	6603988	15958934	8304646	0	-2009817	-3402488	E	14.5	0.31	39.5	-15.0	0.5	27.68	0.34	100.00	0.8	FALSE	Interenergo, energetski inzeniring, d.o.o.	35.14	TRGOVANJE Z ELEKTRICNO ENERGIJO	?
H	S	2011385	1553636	282241	107526	63112	63112	68308	175834	5566	2486907	1083951	1069749	4142	2143571	343336	333207	333207	1069749	333207	43672	113092	211271	E	13.4	1.03	2.0	-2.0	0.1	6.06	0.44	1.08	2.7	FALSE	KARGO TRADE prevozi d.o.o.	49.41	CESTNI TOVORNI PROMET	?
F	S	4867412	3776501	937963	375109	20359	20359	127115	502224	100907	4100874	2621053	322618	42715	2415142	1685732	1157203	1157203	75289	1404532	53266	476016	664307	A	28.2	1.20	11.9	16.3	-2.4	0.56	0.64	6.24	3.4	FALSE	GRADNJE gradbenistvo in prevoznistvo d.o.o. Bostanj	42.11	GRADNJA CEST	?
G	S	4842176	3929428	335523	74843	34831	34831	475906	550749	380037	3098222	1795189	1043601	1022384	667281	2422648	144784	144784	205071	983314	518720	445606	301073	A	4.7	2.46	6.6	20.1	-1.5	0.04	0.58	13.66	15.6	FALSE	REAM trgovina in storitve d.o.o.	46.19	NESPECIALIZIRANO POSREDNISTVO PRI PRODAJI RAZNOVRSTNIH IZDELKOV	?
G	S	2446375	2009120	471285	72553	28204	28204	-111023	-38470	-113458	2614762	866697	798924	36305	1613060	1001702	949141	949141	690204	1057861	487214	-61875	120994	E	36.3	0.95	-10.4	-10.9	-2.4	30.00	0.33	0.00	-4.0	FALSE	CEMBOS - Podjetje za trgovino in turizem, d.o.o. Koper	47.59	TRGOVINA NA DROBNO V SPECIALIZIRANIH PRODAJALNAH S POHISTVOM, SVETILI IN DRUGJE NERAZVRSCENIMI PREDMETI ZA GOSPODINJSTVO	?
N	M	27241374	25386414	1075860	277509	212683	209099	513366	790875	307275	9389734	1424958	3735980	90841	4141465	4813512	4226746	4226746	0	7962726	0	544589	1639490	E	45.0	0.60	5.6	1.1	-1.2	4.61	0.15	2.46	5.6	FALSE	RELAX TURIZEM podjetje za turizem d.d.	79.12	DEJAVNOST ORGANIZATORJEV POTOVANJ	?
F	S	2229701	1672514	475574	66972	89824	89824	29547	96519	-59903	3376628	588372	1857253	10801	1671163	1697406	931003	931003	934312	1853944	1044472	5381	-101635	E	27.6	0.92	-15.6	-37.2	-1.7	19.13	0.17	0.33	0.8	FALSE	SKUPINA POCIVAVSEK, proizvodno in trgovsko podjetje, d.o.o.	43.21	INSTALIRANJE ELEKTRICNIH NAPELJAV IN NAPRAV	?
G	L	6086919	4912799	358768	515828	153299	153299	200939	716767	71844	9739328	1903544	4105160	20298	2601389	7137670	3427178	3427178	3301163	4231175	125038	427044	56670	E	35.2	1.69	-13.1	-46.2	2.1	5.70	0.20	1.31	1.9	FALSE	GOKOP gradbeno, gostinsko in trgovsko podjetje d.o.o.	47.19	DRUGA TRGOVINA NA DROBNO V NESPECIALIZIRANIH PRODAJALNAH	?
G	M	14278318	12400281	1178821	403787	79915	79915	319006	722793	257452	5511976	2380474	1736918	123334	1915606	3591559	1349891	1349891	426141	2660668	869490	566508	428885	A	24.5	1.35	6.0	7.0	0.2	2.23	0.43	3.99	5.9	FALSE	VIGROS - Trgovina na debelo in drobno d.o.o.	46.39	NESPECIALIZIRANA TRGOVINA NA DEBELO Z ZIVILI, PIJACAMI, TOBACNIMI IZDELKI	?
C	S	3325909	2985576	722346	792815	756518	152653	-1353008	-560193	-2103978	6458712	-661613	2261119	19687	4321501	2137211	4805593	2358454	3910225	3156487	468926	-1830960	-2075520	E	74.4	0.68	-33.6	-19.7	-37.9	30.00	-0.10	0.00	-18.9	FALSE	MOTVOZ PLAST druzba za proizvodnjo in predelavo embalaze d.o.o.	13.94	PROIZVODNJA VRVI, VRVIC IN MREZ	?
G	M	11077894	9483327	1412985	306610	64151	64151	-122122	184488	-150960	8974195	2950876	3205994	42451	5042363	3866580	2770862	2770862	1666612	4310244	1628580	24705	-1148212	E	30.9	0.90	-2.3	-9.8	-0.4	17.15	0.33	0.00	-1.3	FALSE	TERMOTEHNIKA proizvodnja in trgovina s tehnicnim blagom, d.o.o.	46.9	NESPECIALIZIRANA TRGOVINA NA DEBELO	?
C	M	20564992	15630738	4118676	578257	79608	79608	1053885	1632142	900770	13677190	6112179	3500000	625885	2419358	11247307	2898679	2898679	1600000	4798679	4909946	1479027	-894174	A	21.2	2.34	2.3	22.3	0.1	1.76	0.45	13.24	8.9	FALSE	CABLEX-T, podjetje za proizvodnjo, trzenje in servisiranje elektrotehnicnih izdelkov, d.o.o.	27.9	PROIZVODNJA DRUGIH ELEKTRICNIH NAPRAV	?
G	S	5293733	4206207	330920	280711	32484	32484	475750	756461	379406	5136381	3641019	1068892	518217	1649177	3469347	426470	426470	888499	606863	1639952	622842	272035	A	8.3	5.72	-2.7	5.8	2.8	0.73	0.71	14.65	9.4	FALSE	FORTRADE trgovina s pohistvom d.o.o.	46.49	TRGOVINA NA DEBELO Z DRUGIMI IZDELKI SIROKE PORABE	?
C	M	11599052	10573720	1964185	20917	7369	7369	34689	55606	34295	5340145	940430	0	3558	29843	5301185	3492064	3492064	0	3492064	1941394	55212	-229909	E	65.4	1.52	8.0	-4.4	3.4	-0.06	0.18	4.71	0.8	FALSE	CONTAINER proizvodno podjetje, d.o.o.	25.11	PROIZVODNJA KOVINSKIH KONSTRUKCIJ IN NJIHOVIH DELOV	?
C	L	137808464	107718456	13777796	7461187	1677495	1677495	11697277	19158464	9705862	90680776	23961808	46347796	13480316	53978664	34764512	13664501	13664501	29022304	30989990	10316766	16937596	2710475	A	15.1	1.12	30.9	33.6	4.5	1.72	0.26	6.97	14.5	FALSE	odelo Slovenija, podjetje za razvoj, proizvodnjo in trzenje avtomobilskih delov, d.o.o.	29.32	PROIZVODNJA DRUGIH DELOV IN OPREME ZA MOTORNA VOZILA	?
E	M	21241352	14299050	5791726	762852	99675	99675	197122	959974	58588	12928123	2058476	5049743	637980	7680821	5237350	5099457	5099457	4005757	6143443	132646	296584	522114	E	39.4	0.85	3.3	13.4	0.8	4.60	0.16	1.98	1.4	FALSE	KOMUNALNO PODJETJE VELENJE Izvajanje komunalnih dejavnosti, d.o.o	36	ZBIRANJE, PRECISCEVANJE IN DISTRIBUCIJA VODE	?
G	S	5369089	5054758	272421	14752	51751	48673	26825	41577	8151	1987581	276350	515934	1399	115412	1868141	1195220	1195220	132333	1578821	912556	22903	-40986	E	60.1	1.18	-3.3	-8.8	-0.3	12.38	0.14	0.55	1.3	FALSE	AGROTRG ORMOZ trgovina s kmetijskim repromaterialom, tehnicnim blagom in gorivi d.o.o.	46.75	TRGOVINA NA DEBELO S KEMICNIMI IZDELKI	?
G	S	8459015	7620828	288402	103366	76522	76522	444519	547885	326660	4797383	2770628	1130127	265129	2180596	2610074	896628	896628	746348	1280407	1310586	414755	631634	A	18.7	2.04	5.0	14.1	-1.3	1.58	0.58	5.81	8.6	FALSE	PNEUMATIC B&F; podjetje za trgovino, uvoz, izvoz in storitve, d.o.o.	45.31	TRGOVINA NA DEBELO Z REZERVNIMI DELI IN OPREMO ZA MOTORNA VOZILA	?
C	S	8823574	6065879	1548748	524799	149593	149593	808695	1333494	565305	9540741	4080902	4516999	201592	7253050	2284651	941292	941292	4037977	1420314	1162872	1090104	1118433	A	9.9	1.61	7.8	6.3	-4.7	3.24	0.43	5.41	8.4	FALSE	SAXONIA - FRANKE, proizvodnja, trgovina in storitve, d.o.o.	22.21	PROIZVODNJA PLOSC, FOLIJ, CEVI IN PROFILOV IZ PLASTICNIH MAS	?
F	L	40941596	38421356	1700069	2240796	522345	522345	-1942583	298213	-1958495	27226174	6255309	9857500	164539	13335534	13851872	10861328	10861328	2896296	17825150	4209898	-1554702	-642327	E	39.9	0.78	6.5	12.4	-7.3	30.00	0.23	0.00	-7.2	FALSE	BEGRAD D.D. gradbenistvo, trgovina, inzeniring - v stecaju	41.2	GRADNJA STANOVANJSKIH IN NESTANOVANJSKIH STAVB	?
M	M	16748643	14787590	1806657	101290	575	575	78209	179499	59953	5931909	1033256	0	590454	117015	5646371	4809472	4809472	0	4809472	0	123084	-381009	E	81.1	1.17	-4.6	-10.9	-3.0	-3.29	0.17	100.00	1.3	FALSE	MMS MARKETINSKE KOMUNIKACIJE, druzba za trzno komuniciranje, d.o.o.	73.11	DEJAVNOST OGLASEVALSKIH AGENCIJ	?
C	M	15009235	10341132	3278368	931629	143618	143618	517177	1448806	397188	12848900	4056412	5148229	55486	6717216	6120610	3388736	3345351	2936892	5786947	1549065	1321664	962769	A	26.4	1.06	10.7	-1.3	2.4	3.52	0.32	3.60	4.3	FALSE	KOVIS-LIVARNA proizvodnja, trgovina in storitve d.o.o.	24.51	LITJE ZELEZA	?
C	S	4544276	2754432	733307	516041	67668	67668	558382	1074423	480663	6228768	2760173	2219059	58060	3946117	2242991	1131691	1131691	1349754	2000996	412163	971305	728230	A	18.2	1.12	9.4	14.8	-5.7	2.01	0.44	8.25	9.4	FALSE	STEEL podporni center orodjarske industrije d.o.o.	25.11	PROIZVODNJA KOVINSKIH KONSTRUKCIJ IN NJIHOVIH DELOV	?
E	S	6369930	4762897	1830351	155761	9453	9453	-125151	30610	4409	2980080	184971	573362	218457	1104769	1873283	1803922	1803922	511402	1865882	48239	105848	5694	E	60.5	1.00	2.0	17.9	2.0	11.59	0.06	0.00	-4.3	TRUE	OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaska Slatina, d.o.o.	36	ZBIRANJE, PRECISCEVANJE IN DISTRIBUCIJA VODE	?
M	S	4306572	3207252	941731	106456	29914	29914	57480	163936	29671	1835175	477597	242546	4903	701106	1092358	919210	868551	51572	1110184	34660	115554	264173	E	50.1	0.98	-30.8	-16.0	5.7	1.45	0.26	1.92	2.7	FALSE	PANTA RHEI podjetje za tekoce in investicijsko vzdrzevanje, d.o.o.	71.129	DRUGE INZENIRSKE DEJAVNOSTI IN TEHNICNO SVETOVANJE	?
C	L	188285312	140213648	34227756	5685862	4132980	0	10040070	15725932	8130861	134451600	44362420	49093972	851196	57414872	76438512	34890452	34831576	40585132	43399292	27759672	13816723	8935913	A	26.0	1.76	5.4	1.9	1.7	3.07	0.33	100.00	7.7	FALSE	Letrika, Proizvodnja elektricne in elektronske opreme za motorna vozila, d.d.	29.31	PROIZVODNJA ELEKTRICNE IN ELEKTRONSKE OPREME ZA MOTORNA VOZILA	?
C	S	4178318	3742255	1015334	229396	8091	8091	-802459	-573063	-727205	4023069	1075743	0	23993	2453305	1313054	2869654	2629916	239738	2629916	143991	-497896	1323298	E	71.3	0.50	-25.6	-27.9	-28.8	30.00	0.27	0.00	-24.1	FALSE	TREVES, Tovarna notranje opreme za vozila, d.o.o.	13.93	PROIZVODNJA PREPROG	?
C	M	32586178	22234922	5994429	2073657	288996	258079	2550568	4624225	2349199	28271310	11697585	11350036	80276	19246482	8886713	3776999	3776999	8867982	6259053	2299179	4422856	4436620	A	13.4	1.42	9.7	14.1	-0.5	2.44	0.41	9.88	10.2	FALSE	SILIKO proizvodno podjetje, storitve in trgovina, d.o.o.	22.19	PROIZVODNJA DRUGIH IZDELKOV IZ GUME	?
C	L	10215790	7232328	2003080	342864	1454	1454	605551	948415	516920	7004897	5018996	44350	742933	2031116	4754626	1652744	1652744	30040	1667054	522124	792014	2052919	A	23.6	2.85	9.2	-5.9	-10.9	-0.74	0.72	100.00	8.9	FALSE	LUMAR INZENIRING podjetje za inzeniring in storitve d.o.o.	16.23	STAVBNO MIZARSTVO IN TESARSTVO	?
G	M	21610566	16468802	3577268	535312	143611	143611	1429174	1964486	1081236	15678745	7917942	3788009	434802	6094867	9554890	3967340	3967340	3403328	4352021	6999547	1399755	763337	A	25.3	2.20	6.7	11.3	1.9	1.71	0.51	9.95	9.4	FALSE	EUROTON Trgovinsko in storitveno podjetje, druzba z omejeno odgovornostjo, Ljubljana, Trzaska 383	46.9	NESPECIALIZIRANA TRGOVINA NA DEBELO	?
D	L	102895680	99004264	1972098	2226575	10403	10403	269036	2495611	1356288	35152492	15987277	0	3581630	2624964	32480212	18769290	18769290	0	18769290	1698	1568732	1368734	A	53.4	1.73	-3.9	-3.2	2.6	-1.44	0.45	25.86	0.8	FALSE	Elektro Maribor Energija plus, podjetje za trzenje energije in storitev d.o.o.	35.14	TRGOVANJE Z ELEKTRICNO ENERGIJO	?
G	M	31960242	26898728	2892979	966624	41179	41179	1123037	2089661	1002998	15827926	6435255	5406379	1914543	8225726	7224856	2683816	2683816	0	8090195	2552814	1847763	4056675	A	17.0	0.89	19.2	19.9	1.3	1.67	0.41	27.27	7.3	FALSE	SCANIA SLOVENIJA, Trgovsko podjetje d.o.o.	45.19	TRGOVINA Z DRUGIMI MOTORNIMI VOZILI	?
C	S	5956679	4891838	691153	249185	66257	66257	235696	484881	173241	5100796	1326379	2588448	203105	3133555	1954949	1185884	1185884	1939635	1834697	810868	418919	-83237	A	23.2	1.07	32.2	67.1	2.8	4.92	0.26	3.56	4.8	FALSE	FARMICOM farmacevtska druzba d.o.o.	21.2	PROIZVODNJA FARMACEVTSKIH PREPARATOV	?
H	M	6155991	3598192	2717249	658443	117856	117856	417381	1075824	320544	6129000	2104990	2891358	46598	4785684	1302883	901156	901156	1733589	2058925	83435	898763	827400	A	14.7	0.63	4.7	11.4	1.6	2.64	0.34	3.54	7.7	FALSE	KORATUR avtobusni promet in turizem d.d.	49.391	MEDKRAJEVNI IN DRUG CESTNI POTNISKI PROMET	?
N	M	20878784	10096700	10235583	357736	293897	293897	193874	551610	257794	11671737	3705541	4115679	7978	5115535	6545104	2811441	2811441	1011121	5915999	54724	577344	1079531	E	24.1	1.11	-7.6	-5.2	-1.2	7.45	0.32	0.66	1.6	FALSE	AKTIVA CISCENJE d.o.o.	81.21	SPLOSNO CISCENJE STAVB	?
C	S	5480960	3467051	1113762	346833	36929	36929	544192	891025	501044	5788007	3333622	1873057	330047	4299554	1487671	534969	534969	1532514	875512	237739	843407	755010	A	9.2	1.70	20.2	-0.5	4.9	1.73	0.58	14.74	11.1	FALSE	ALPMETAL & CO, proizvodnja in trgovina, d.o.o., Selca	24.53	LITJE LAHKIH KOVIN	?
E	M	15474676	9244385	4737475	1559647	31196	31196	218900	1778547	388822	12923721	7172281	1410174	3093673	6603288	6280296	3755614	2144737	2713083	2452705	137857	1327972	1263551	A	29.1	2.56	-2.1	-4.0	10.9	-0.95	0.55	7.02	1.7	FALSE	SNAGA, druzba za ravnanje z odpadki in druge komunalne storitve, d.o.o.	38.11	ZBIRANJE IN ODVOZ NENEVARNIH ODPADKOV	?
C	M	14122046	9370395	2908424	1290820	170643	170643	352632	1643452	325031	9573662	6503161	1501000	704319	4069116	5502211	1473361	1473361	0	2974361	2271413	1516559	2231899	A	15.4	1.85	-2.1	9.8	-0.6	0.48	0.68	2.07	3.5	FALSE	TANIN SEVNICA Kemicna industrija d.d.	20.59	PROIZVODNJA DRUGIH KEMICNIH IZDELKOV	?
J	L	43081344	23425678	16711679	2048344	3516478	703179	1212267	3260611	-1038110	27143460	8570398	9677732	898233	18748980	8171105	3942927	3942927	4300332	9320327	1020083	740256	1949019	A	14.5	0.88	-4.8	-6.9	2.6	2.69	0.32	1.72	4.2	FALSE	DELO casopisno in zaloznisko podjetje d.d., Ljubljana	58.13	IZDAJANJE CASOPISOV	?
B	M	3656938	3475790	2134912	585070	88035	88035	-688049	-102979	-766718	9410103	3562069	2530900	120369	7173387	2102737	1209632	1209632	1741020	1999512	954475	-222027	-56163	E	12.9	1.05	10.5	23.1	-25.0	30.00	0.38	0.00	-7.4	FALSE	SOLINE Pridelava soli, d.o.o.	8.93	PRIDOBIVANJE SOLI	?
C	L	65786488	57867132	4673943	1187455	1387757	930537	3128380	4315835	1825123	51196828	19326440	12107354	982617	23959934	27207152	17231308	17231308	7549956	21788706	5406880	2882252	3302051	A	33.7	1.25	8.3	11.8	1.6	2.58	0.38	3.36	6.1	FALSE	CELJSKE MESNINE d.d. CELJE	10.13	PROIZVODNJA MESNIH IZDELKOV	?
G	M	6776217	5237513	1886872	173668	79598	79598	-442805	-269137	-529571	4406901	862154	1684805	138897	3041400	1363761	1334994	1334994	1945466	1464064	511555	-373846	-583136	E	30.3	0.93	-7.6	-8.2	-6.2	30.00	0.20	0.00	-9.8	FALSE	GARDENIA ARS FLORAE Cvetlicarstvo, Ljubljana, d.d.	47.761	TRGOVINA NA DROBNO V CVETLICARNAH	?
G	M	22654086	21044060	1002829	200318	316435	289435	412128	612446	165141	10423951	1482092	2645738	33759	2057251	8108738	6152235	6152235	33260	8764713	1276771	165141	2027255	E	59.0	0.93	15.6	35.1	-0.2	4.26	0.14	1.42	4.3	FALSE	DZS GRAFIK, Trgovina z graficnimi materiali in posredovanje, d.o.o.	46.76	TRGOVINA NA DEBELO Z DRUGIMI POLIZDELKI	?
J	L	29029016	17584190	10309999	1860852	2394710	1061337	-2469135	-608283	-5351599	72016328	39175152	20040964	2832148	55124964	16730785	7463729	7463729	14285634	15227378	6201996	-3742211	-1043812	E	10.4	1.10	-10.5	-13.2	-8.9	30.00	0.54	0.00	-3.3	FALSE	MLADINSKA KNJIGA ZALOZBA d.d.	58.11	IZDAJANJE KNJIG	?
