activity	size	net.sales	cost.of.goods.and.services	cost.of.labor	depreciation	financial.expenses	interest	EBIT	EBITDA	net.income	assets	equity	debt	cash	lt.assets	st.assets	total.oper.liabilities	st.oper.liabilities	lt.liabilities	st.liabilities	inventories	FFO	OCF	credit.score	total.oper.liabilities/assets	current.ratio	lt.sales.growth	st.sales.growth	lt.ebit.margin.change	net.debt/EBITDA	equity.ratio	TIE	ROA	public	id	activity.id	activity.ime	Arguments
C	M	10612306	7078205	1404699	826436	15025	9806	1502366	2328802	1317090	11548035	9367851	400730	987870	6390695	5147422	1587568	1587568	0	1988298	654798	1989426	2280279	A	13.7	2.59	2.6	-0.3	1.8	-0.25	0.81	100.00	13.2	FALSE	LINDE PLIN d.o.o., Celje	20.11	PROIZVODNJA TEHNICNIH PLINOV	?
C	S	2973099	2022600	581564	284312	29528	29528	262256	546568	236827	2834561	1247939	1226550	164088	2027647	806914	277690	277690	1001542	502698	147300	498863	787558	A	9.8	1.61	11.1	-8.2	3.3	1.94	0.44	8.88	9.0	FALSE	TROL d.o.o., druzba za storitve, proizvodnjo in trgovino	25.99	PROIZVODNJA DRUGJE NERAZVRSCENIH KOVINSKIH IZDELKOV	?
G	S	5894023	4713438	700355	255610	113573	113573	238832	494442	122641	6622270	1875326	3846789	51849	5279476	1323965	893488	893488	2606239	2134038	582311	378251	470018	E	13.5	0.62	1.4	-4.3	-1.1	7.68	0.28	2.10	3.5	FALSE	CLOUDY Trgovina, gostinstvo in turizem d.o.o. Ljubljana	47.72	TRGOVINA NA DROBNO V SPECIALIZIRANIH PRODAJALNAH Z OBUTVIJO IN USNJENIMI IZDELKI	?
M	L	4544577	3295350	742674	86404	10520	8026	417397	503801	690387	4617517	1627620	791740	1750077	1174157	3430879	1067994	1067994	1432	1859734	0	776359	822048	A	23.1	1.84	0.1	0.7	0.9	-1.90	0.35	52.01	10.5	FALSE	LUNA TBWA druzba za komunikacije d.o.o.	73.11	DEJAVNOST OGLASEVALSKIH AGENCIJ	?
C	L	7729741	4953775	1906473	683360	71806	71806	83862	767222	36415	6514572	2997107	1777731	37097	2307526	4196214	1315991	1315991	255035	2838687	1844091	714285	234315	A	20.2	1.48	-7.0	-5.1	-5.6	2.27	0.46	1.17	1.4	FALSE	S E P proizvodnja in storitve d.o.o.	22.29	PROIZVODNJA DRUGIH IZDELKOV IZ PLASTICNIH MAS	?
C	S	2245540	1181425	794924	173191	14569	14569	41443	214634	29000	3794326	2727296	430423	19124	3049138	744787	502594	502594	430423	502594	88806	202191	402505	A	13.2	1.48	2.4	-12.5	3.6	1.92	0.72	2.84	1.1	FALSE	POHISTVO ISKRA proizvodnja, trgovina in inzeniring d.o.o. Medvode	31.01	PROIZVODNJA POHISTVA ZA POSLOVNE IN PRODAJNE PROSTORE	?
G	M	15089126	13855928	913018	99146	36962	36962	188768	287914	211730	7720844	3570098	1433334	907365	2512734	5095443	2699110	2699110	1197143	2935301	1395025	308499	260684	A	35.0	1.74	9.9	23.5	-2.6	1.83	0.46	5.11	2.7	FALSE	OPEKA, podjetje za trgovino in storitve, d.o.o.	46.73	TRGOVINA NA DEBELO Z LESOM, GRADBENIM MATERIALOM IN SANITARNO OPREMO	?
C	L	55756696	47410684	5993304	583914	131882	131882	706578	1290492	646725	18385726	8162992	2523298	247170	975275	17142738	6756558	6756558	1176464	8103392	5515819	962201	-1199214	A	36.7	2.12	5.3	10.8	-1.4	1.76	0.44	5.36	4.2	FALSE	JUB kemicna industrija d.o.o.	20.3	PROIZVODNJA BARV, LAKOV IN PODOBNIH PREMAZOV, TISKARSKIH BARV IN KITOV	?
M	S	2407441	1477700	809338	124726	30135	30135	560547	685273	436018	3785393	2178352	1124260	273201	1470814	2292880	302781	302781	597873	829168	916837	556253	-179664	A	8.0	2.77	18.1	-7.2	22.5	1.24	0.58	18.60	17.7	FALSE	SMARTEH Raziskave in razvoj procesne opreme d.o.o.	72.19	RAZISKOVALNA IN RAZVOJNA DEJAVNOST NA DRUGIH PODROCJIH NARAVOSLOVJA IN TEHNOLOGIJE	?
C	S	6799578	6560559	216885	99	34441	34441	19910	20009	3850	2889688	23612	1968614	163634	2865	2886823	897384	897384	1300000	1565998	250943	3949	255697	E	31.1	1.84	17.6	33.5	-3.0	30.00	0.01	0.58	0.6	FALSE	POLIX EXPORT druzba za proizvodnjo, prodajo, izvoz, uvoz instalacijskega blaga, d.o.o.	28.14	PROIZVODNJA PIP IN VENTILOV	?
G	M	16007639	13819756	1323441	192806	2935	2935	657557	850363	557415	7213611	5186287	5070	1967323	516693	6571212	1808434	1808434	3055	1810449	1796662	705177	1408817	A	25.1	3.63	3.7	24.1	2.6	-2.31	0.72	100.00	9.1	FALSE	RAM 2 trgovina, proizvodnja, zastopanje in inzeniring, d.o.o.	46.49	TRGOVINA NA DEBELO Z DRUGIMI IZDELKI SIROKE PORABE	?
G	S	8684460	7729490	677190	222088	50257	50257	112751	334839	63284	4599831	1735163	2531339	452505	969716	3629056	274841	274841	2514719	291461	1008579	170274	212616	E	6.0	12.45	-1.7	-4.8	0.3	6.21	0.38	2.24	2.6	FALSE	J.U.A. FRISCHEIS, Podjetje za zastopanje in prodajo d.o.o.	46.9	NESPECIALIZIRANA TRGOVINA NA DEBELO	?
F	M	28486516	25433150	2906769	49108	11010	11010	83519	132627	69327	11050684	1084935	0	14240	545155	10499077	9914756	9914756	50993	9914756	110117	78403	23892	E	89.7	1.06	38.1	-39.4	-0.3	-0.11	0.10	7.59	0.6	FALSE	CGP - GRADNJE, gradbenistvo, d.o.o.	41.2	GRADNJA STANOVANJSKIH IN NESTANOVANJSKIH STAVB	?
F	S	1281502	1054146	13816	340280	47354	47354	-129402	210878	-160162	3113521	2820095	0	430880	1295998	1815491	257689	257689	0	257689	162354	17582	295055	E	8.3	7.05	-45.9	-78.0	-10.4	-2.04	0.91	0.00	-3.6	FALSE	ARMAT PROJEKT trgovska, proizvodna in storitvena dejavnost d.o.o.	43.99	DRUGA SPECIALIZIRANA GRADBENA DELA	?
M	S	5981321	5067079	1542353	110787	544	544	284274	395061	269422	4312059	2137782	0	187911	527293	3711300	1990443	1990443	0	1990443	1204437	310746	-151539	A	46.2	1.86	2.0	2.1	0.9	-0.48	0.50	100.00	7.4	FALSE	KOLEKTOR SINABIT avtomatizacija, informatizacija, inzeniring d.o.o.	71.129	DRUGE INZENIRSKE DEJAVNOSTI IN TEHNICNO SVETOVANJE	?
C	S	1804552	1331629	514773	41512	36637	36637	88905	130417	45392	2728082	1101848	919493	0	660539	2066642	706163	706163	756528	869128	548139	83753	-479067	E	25.9	2.38	9.4	-45.6	-1.5	7.05	0.40	2.43	3.1	FALSE	ST-TREND, inzeniring in proizvodnja strojne opreme, d.o.o.	28.99	PROIZVODNJA STROJEV ZA DRUGE POSEBNE NAMENE	?
C	S	2559303	2110660	332359	121725	37341	37341	32380	154105	5474	1974999	281900	937511	24969	997002	973454	755588	755588	247511	1445588	480453	127199	-39650	E	38.3	0.67	17.5	8.3	-2.5	5.92	0.14	0.87	1.6	FALSE	HIPLEX Proizvodno in trgovsko podjetje d.o.o.	22.29	PROIZVODNJA DRUGIH IZDELKOV IZ PLASTICNIH MAS	?
C	M	22005908	16636149	4341597	1019985	235615	225927	418260	1438245	363342	17159588	3331915	8950965	291376	8862428	8185163	4078058	4078058	7736427	5292596	4518667	997058	-810040	E	23.8	1.55	3.8	8.2	0.8	6.02	0.19	1.85	2.3	FALSE	M SORA, trgovina in proizvodnja, d.d.	16.23	STAVBNO MIZARSTVO IN TESARSTVO	?
C	M	14820749	12551068	1530057	452435	61481	61481	305613	758048	294990	7401292	4177248	999289	570810	3799781	3538454	1928289	1928289	794998	2132580	869850	747425	238184	A	26.1	1.66	-11.0	-15.3	-3.4	0.57	0.56	4.97	4.0	FALSE	UNITPLAST d.o.o., proizvodnja in storitve	22.29	PROIZVODNJA DRUGIH IZDELKOV IZ PLASTICNIH MAS	?
E	S	4783173	2413290	1312894	73090	87	87	162266	235356	267387	3899739	740444	0	1921607	406912	3478722	381351	381351	0	381351	0	324997	621651	A	9.8	9.12	7.7	9.5	-1.4	-8.16	0.19	100.00	5.0	TRUE	Javno podjetje center za ravnanje z odpadki Puconci d.o.o.	38.21	RAVNANJE Z NENEVARNIMI ODPADKI	?
C	L	7140735	5840040	931988	247198	257737	257737	247504	494702	-58693	12459574	4613451	3963756	32691	10256763	2140676	2372717	2372717	4502180	3343943	1124832	188505	657941	E	19.0	0.64	-9.1	-13.5	0.9	7.95	0.37	0.96	1.8	FALSE	G - M & M, proizvodnja in marketing d.o.o.	28.24	PROIZVODNJA ROCNIH STROJEV IN NAPRAV	?
C	L	97364184	61684944	26143298	7474795	2164744	1745157	4090252	11565047	2605122	99285728	41671740	30619996	1944937	49184068	49801940	20057162	19802358	16266663	35119480	20581650	8937420	12531754	A	20.2	1.42	35.1	-3.3	1.4	2.48	0.42	2.34	3.9	FALSE	ISKRA, elektro in elektronska industrija, d.d.	27.12	PROIZVODNJA NAPRAV ZA DISTRIBUCIJO IN KRMILJENJE ELEKTRIKE	?
C	M	22735258	17103026	3354674	763274	122057	122057	2213274	2976548	1795287	13162837	5840449	3984667	63499	6257878	6809129	2891718	2891718	3772727	3103658	3852838	2510289	2318947	A	22.0	2.19	14.1	7.8	2.6	1.32	0.44	18.13	17.6	FALSE	ISOKON proizvodnja in predelava termoplastov, d.o.o., Slovenske Konjice	22.21	PROIZVODNJA PLOSC, FOLIJ, CEVI IN PROFILOV IZ PLASTICNIH MAS	?
N	S	5031143	4457411	245934	152202	101709	101709	172321	324523	47913	3735187	356138	1400901	41723	1152475	2514669	1978148	1978148	747352	2631697	0	155102	593933	E	53.0	0.96	6.5	35.7	2.5	4.19	0.10	1.69	4.8	FALSE	PANORAMIC, turisticno poslovne storitve d.o.o.	79.12	DEJAVNOST ORGANIZATORJEV POTOVANJ	?
M	S	5979742	3230958	2606197	56202	4051	4051	-12264	43938	20658	3546980	2043771	0	1464346	475903	3051469	1377432	1377432	0	1377432	0	76860	458882	E	38.8	2.22	9.9	-10.7	4.3	-33.33	0.58	0.00	-0.4	FALSE	PRICEWATERHOUSECOOPERS podjetje za revizijo in druge financno racunovodske storitve, d.o.o.	69.2	RACUNOVODSKE, KNJIGOVODSKE IN REVIZIJSKE DEJAVNOSTI; DAVCNO SVETOVANJE	?
C	S	3482871	2231629	1458320	111636	34740	34740	34648	146284	707	3961236	2310621	1140748	20407	2709275	1247717	440430	440430	648398	932780	875708	112343	-47869	E	11.1	1.34	-12.9	-27.3	-0.9	7.66	0.58	1.00	0.9	FALSE	LENTHERM-INVEST vodenje, trzenje in proizvodnja d.o.o.	25.21	PROIZVODNJA RADIATORJEV IN KOTLOV ZA CENTRALNO OGREVANJE	?
H	S	1745857	1258009	348823	78956	35218	35218	59903	138859	19863	1921322	903441	735571	4085	812718	1108604	282310	282310	380675	637206	747031	98819	160324	E	14.7	1.74	1.2	-15.6	-2.4	5.27	0.47	1.70	2.9	FALSE	EME-T & T, transportna tehnologija d.o.o.	49.41	CESTNI TOVORNI PROMET	?
F	S	1310336	1038720	177429	238726	37821	37821	16143	254869	7192	1693687	1289034	5191	6360	1393268	300419	391916	391916	0	397107	13374	245918	144103	A	23.1	0.76	5.1	-36.0	-4.3	0.00	0.76	0.43	0.9	FALSE	KG-EKO, Proizvodnja in predelava agregatov, d.o.o.	43.99	DRUGA SPECIALIZIRANA GRADBENA DELA	?
F	L	6615514	3396969	805895	351159	731250	701925	-143372	207787	472045	17635976	4071397	8957957	394649	5977979	11632687	4314369	2138885	7396484	5875842	9191505	603011	2991805	E	24.5	1.98	-27.7	-47.2	-7.9	30.00	0.23	0.00	-0.7	FALSE	LESNINA INZENIRING podjetje za projektiranje, gradnjo in opremo objektov, d.d., Ljubljana	41.2	GRADNJA STANOVANJSKIH IN NESTANOVANJSKIH STAVB	?
G	M	16193690	15248957	923671	92025	330518	330518	171118	263143	-65882	8350112	1739921	5878095	51898	4459787	3721187	679130	676811	2319	6554906	2316709	26143	498265	E	8.1	0.57	-2.2	-21.6	-0.7	22.14	0.21	0.52	2.0	FALSE	AVTOHISA KOLMANIC & CO podjetje za trgovino in storitve d.o.o.	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	?
C	S	6975632	3955589	2452001	326460	51830	51830	350508	676968	381712	5067415	1906637	1377150	26181	2218191	2844227	1474679	1471231	644996	2206833	649362	688089	144672	A	29.1	1.29	26.3	8.4	4.7	2.00	0.38	6.76	7.4	FALSE	ORODJARNA & INZENIRING ALBA orodjarstvo, inzeniring in proizvodnja d.o.o.	25.732	PROIZVODNJA ORODJA ZA STROJE	?
M	S	4353027	3203820	471808	387782	139872	139872	282697	670479	278250	5520652	1074371	2470737	1495	3424659	2070736	1936716	1882441	1437854	2969599	704	637093	637226	E	35.1	0.70	19.7	-1.7	6.8	3.68	0.19	2.02	5.0	FALSE	AMICUS podjetje za marketing d.o.o.	73.12	POSREDOVANJE OGLASEVALSKEGA PROSTORA	?
C	S	2061146	1445924	320091	197505	9609	9609	99373	296878	68731	2597091	1564993	560000	205524	1464322	1120439	472098	472098	0	1032098	181495	166283	487728	A	18.2	1.09	1.0	-2.8	-7.0	1.19	0.60	10.34	4.2	FALSE	ZAGAR NOVO MESTO, proizvodnja in trgovina, d.o.o.	25.99	PROIZVODNJA DRUGJE NERAZVRSCENIH KOVINSKIH IZDELKOV	?
J	L	7164957	5032080	1882836	104550	178964	8964	156492	261042	30613	4447181	1708654	223368	93900	2156675	2198468	1967237	1131407	1016571	1174034	194528	128594	-345990	A	44.2	1.87	-8.4	-16.9	-1.8	0.50	0.38	17.46	3.1	FALSE	ADD trgovina, inzeniring, vzdrzevanje d.o.o., Tbilisijska 85, Ljubljana	62.09	DRUGE Z INFORMACIJSKO TEHNOLOGIJO IN RACUNALNISKIMI STORITVAMI POVEZANE DEJAVNOSTI	?
G	S	6528082	5899196	491624	86279	46462	46462	50870	137149	10663	1939556	937905	666277	12264	1274077	654901	334929	334929	42827	958379	279147	96055	170806	E	17.3	0.68	-18.7	-8.3	3.3	4.77	0.48	1.09	2.5	FALSE	MALGAJ, Trgovsko-servisno podjetje, d.o.o.	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	?
A	M	17269248	9132386	4482689	908997	254141	254141	563758	1472755	344212	17155984	9537284	4770110	142605	12355141	4800843	2375524	2375524	1467846	5677788	683007	1076205	1665647	E	13.8	0.85	4.4	12.3	-0.2	3.14	0.56	2.22	3.3	FALSE	GOZDNO GOSPODARSTVO NOVO MESTO d.d.	2.2	SECNJA	?
C	S	4504050	3495742	1366678	150873	112151	112151	-196317	-45444	-336170	4750975	485361	3634528	1210	3149811	1581348	418130	418130	1332381	2720277	1037331	-185372	-868530	E	8.8	0.58	-15.6	-10.7	-6.6	30.00	0.10	0.00	-4.3	FALSE	ROSENBAUER, proizvodnja in trgovina za gasilsko dejavnost, d.o.o.	29.1	PROIZVODNJA MOTORNIH VOZIL	?
G	M	26149400	23614712	1300442	552149	112871	112871	540398	1092547	392599	16783306	4278448	3701999	40397	5376231	11377727	7886779	7886779	2028440	9560338	4658281	820172	953326	A	47.0	1.19	11.0	9.4	-0.3	3.35	0.25	4.79	3.6	FALSE	AHAC trgovinsko podjetje d.o.o.	47.11	TRGOVINA NA DROBNO V NESPECIALIZIRANIH PRODAJALNAH, PRETEZNO Z ZIVILI	?
C	S	3290063	2626581	515962	45125	87436	87436	98485	143610	13581	2803884	887960	1165002	75269	763630	2037884	750922	717906	630371	1285553	1183901	58706	-8063	E	26.8	1.59	-2.1	10.1	-1.4	7.59	0.32	1.13	3.6	FALSE	METALOPREMA Kovinski izdelki in trgovina d.o.o.	25.94	PROIZVODNJA VIJACNEGA MATERIALA, VEZI	?
M	S	1994766	685206	672356	735111	1917	1917	176340	911451	175458	2687811	541278	315765	9313	471249	2142685	490897	490897	0	806662	34612	910569	1176158	A	18.3	2.66	6.1	-25.6	-5.9	0.34	0.20	91.99	4.8	FALSE	Beyond Devices, raziskave in razvoj, d.o.o.	72.19	RAZISKOVALNA IN RAZVOJNA DEJAVNOST NA DRUGIH PODROCJIH NARAVOSLOVJA IN TEHNOLOGIJE	?
C	S	1732008	918532	588059	150653	27129	27129	58800	209453	31729	2587780	1357990	953852	6385	2283043	304737	219562	219562	828852	344562	78384	179168	74605	E	8.5	0.88	10.6	-18.9	-0.3	4.52	0.52	2.17	2.2	FALSE	NCM podjetje za strojno obdelavo d.o.o.	25.62	MEHANSKA OBDELAVA KOVIN	?
C	L	166734992	114318000	12933000	4574000	8505000	0	21208000	25782000	9751000	235530000	85110000	116924000	4806000	97846000	137684000	27150000	27140000	107399000	40367000	9689000	9751000	14468000	A	11.5	3.41	3.1	-4.2	6.3	4.35	0.36	100.00	9.0	FALSE	DROGA KOLINSKA, Zivilska industrija, d.d.	10.83	PREDELAVA CAJA IN KAVE	?
J	S	2904549	1349962	999904	17856	32538	32538	548585	566441	436783	4547736	3451198	733334	24305	3758394	788759	255645	255645	366668	622311	257247	452184	320802	A	5.6	1.27	-4.9	-18.1	-2.0	1.25	0.76	16.86	11.9	FALSE	CASOPISNO ZALOZNISKA DRUZBA KMECKI GLAS, d.o.o.	58.13	IZDAJANJE CASOPISOV	?
C	S	1029779	598940	473546	223453	203823	0	193887	417340	55631	7958244	7490719	556	3624629	949240	7009004	176648	176648	0	177204	750337	279084	2327104	A	2.2	39.55	-32.3	-48.6	46.1	-8.68	0.94	100.00	2.4	FALSE	LIKO Industrija kovinske opreme, d.d. Liboje	25.11	PROIZVODNJA KOVINSKIH KONSTRUKCIJ IN NJIHOVIH DELOV	?
G	L	71615440	68707856	2041815	550384	300327	300327	292047	842431	231415	25015678	7621415	8210098	269669	10639961	14351838	9171931	9171931	6084633	11297396	3088244	756171	-276148	E	36.7	1.27	-5.0	-3.5	-0.6	9.43	0.30	0.97	1.2	FALSE	TOPDOM, trgovsko podjetje, d.o.o.	46.73	TRGOVINA NA DEBELO Z LESOM, GRADBENIM MATERIALOM IN SANITARNO OPREMO	?
G	M	49082544	37989976	6750860	640532	3754	3754	1912063	2552595	1238510	14366541	7873562	0	546239	1265763	13100778	4725755	4725755	0	4725755	6106922	1859844	4369582	A	32.9	2.77	2.1	1.7	2.1	-0.21	0.55	100.00	12.1	FALSE	ROCHE farmacevtska druzba d.o.o.	46.46	TRGOVINA NA DEBELO S FARMACEVTSKIMI IZDELKI TER MEDICINSKIMI POTREBSCINAMI IN MATERIALI	?
M	S	2003150	1269410	430573	93218	194873	194873	199674	292892	4307	3652715	375960	2920340	15924	3132158	508086	355715	355715	2273187	1002868	154841	96917	33781	E	9.7	0.51	-5.5	-23.1	4.6	9.92	0.10	1.02	5.1	FALSE	SILINA druzba za posredovanje in raziskavo trga d.o.o.	71.2	TEHNICNO PREIZKUSANJE IN ANALIZIRANJE	?
C	L	15617938	8849634	4502930	1580410	511085	509359	1140197	2720607	706340	18065510	5854267	9597548	533141	12773115	5269201	1524249	1524249	8791274	3032893	2298786	2211025	2847227	A	8.4	1.74	-5.0	-7.4	2.8	3.33	0.32	2.24	6.2	FALSE	DONIT TESNIT, druzba za proizvodnjo tesnilnih materialov, d.o.o.	20.59	PROIZVODNJA DRUGIH KEMICNIH IZDELKOV	?
M	S	5023790	3665788	1623698	54425	21966	21966	-375413	-320988	-368266	4022448	1164613	675917	515777	153961	3804531	1788471	1788471	0	2464388	0	-316602	-1928408	E	44.5	1.54	-6.8	-13.1	-3.1	30.00	0.29	0.00	-8.6	FALSE	A.T. KEARNEY Svetovanje d.o.o.	70.22	DRUGO PODJETNISKO IN POSLOVNO SVETOVANJE	?
H	S	9006080	7265270	1054106	27550	2170	1105	658915	686465	546221	3069116	578140	0	1068217	81622	2973526	1824383	1824383	0	1824383	0	573771	976587	A	59.4	1.63	6.7	11.2	4.9	-1.56	0.19	100.00	23.9	FALSE	CAT LOGISTIC transportna d.o.o.	49.41	CESTNI TOVORNI PROMET	?
H	S	4002398	3161596	311067	270308	37958	37958	340203	610511	309990	2720561	1185801	394455	168855	1718499	961486	1106645	546597	872216	628884	0	580278	646070	A	40.7	1.53	17.9	4.9	3.7	0.37	0.44	8.96	13.7	FALSE	SKOFIC PROMET, Podjetje za opravljanje in organiziranje prevozov v domacem in mednarodnem prometu, d.o.o., Trstenik	49.41	CESTNI TOVORNI PROMET	?
C	S	3515817	1691504	785879	410301	56762	33138	650934	1061235	507617	3315974	1034623	976283	68285	2000008	1315966	1130570	1130570	380791	1726062	159354	821263	474905	A	34.1	0.76	21.9	74.2	9.2	0.86	0.31	19.64	21.7	FALSE	ECOBETON proizvodnja, trgovina, storitve d.o.o.	23.63	PROIZVODNJA SVEZE BETONSKE MESANICE	?
B	S	6065443	5333295	703359	110533	26892	26892	-71983	38550	-90236	4854396	199787	2040108	169726	2216711	2618390	2595036	2595036	3407	4631737	263319	-3876	-591010	E	53.5	0.57	-6.3	-22.3	-4.7	30.00	0.04	0.00	-1.4	FALSE	SALINEN PROSOL proizvodnja, trgovina in zastopstva, d.o.o.	8.93	PRIDOBIVANJE SOLI	?
C	S	4109438	3346467	628760	182067	160115	160115	161405	343472	11141	4561827	1707244	1532176	1877	3392232	1165916	1255877	1255877	16799	2771254	632256	193208	316100	E	27.5	0.42	-1.1	-18.0	1.9	4.46	0.37	1.01	3.5	FALSE	TOTRA PLASTIKA podjetje izdelkov iz plasticnih mas, d.o.o., Trpinceva 39, 1000 Ljubljana	22.21	PROIZVODNJA PLOSC, FOLIJ, CEVI IN PROFILOV IZ PLASTICNIH MAS	?
A	S	4254011	3278135	1154189	153100	11752	11752	48115	201215	55686	3143372	142767	214938	2878	515273	2626099	2401243	2401243	177483	2438698	0	208786	298877	E	76.4	1.08	28.9	2.5	1.9	1.05	0.05	4.09	1.7	FALSE	GID gozdarsko invalidska druzba d.o.o.	2.4	STORITVE ZA GOZDARSTVO	?
C	M	18199448	15682922	1602863	2178558	178081	178081	-1626014	552544	-1545010	20163570	2592938	7462518	54688	6537344	13615795	9450150	4972065	10501192	6411476	2177498	-738282	-5699803	E	46.9	2.12	-23.0	107.2	-10.4	13.41	0.13	0.00	-8.0	FALSE	KOGRAD IGEM proizvodnja gradbenih materialov d.o.o.	23.61	PROIZVODNJA BETONSKIH IZDELKOV ZA GRADBENISTVO	?
C	L	166532208	106373000	43879460	9541546	11416167	6341769	4822959	14364505	-3542814	293927264	103353016	145696304	1710098	188035728	105891528	36726500	36461312	128892624	53530184	60384540	5623944	95127	E	12.5	1.98	9.9	6.8	1.6	10.02	0.35	0.76	1.6	FALSE	UNIOR Kovaska industrija d.d.	25.731	PROIZVODNJA ROCNEGA ORODJA	?
N	M	5091481	3671857	907345	77565	79624	79624	101286	178851	75847	8816393	107637	4000000	634628	1614977	7201416	4422320	4422320	4000000	4422320	4399	106896	172572	E	50.2	1.63	-38.3	-23.7	1.0	18.82	0.01	1.27	1.2	FALSE	SS storitveno podjetje d.o.o.	78.2	POSREDOVANJE ZACASNE DELOVNE SILE	?
