target	id	Arguments	status_account	month_duration	credit_history	purpose	credit_amount	status_savings	years_employment	payment_to_income_ratio	status_and_sex	secondary_obligor	residence_since	collateral	age	other_installment_plans	housing	n_credits	job	n_guarantors	telephone	is_foreign_worker
good	13		Low positive balance	12	existing credits paid back duly till now	radio/television	1567	< 100 DM	1 to < 4 years	1	female : divorced/separated/married	none	1	real estate	22	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	14		Negative balance	24	critical account/ other credits existing (not at this bank)	car (new)	1199	< 100 DM	>= 7 years	4	male : single	none	4	real estate	60	none	own	2	unskilled - resident	1	none	yes
good	15		Negative balance	15	existing credits paid back duly till now	car (new)	1403	< 100 DM	1 to < 4 years	2	female : divorced/separated/married	none	4	real estate	28	none	rent	1	skilled employee/ official	1	none	yes
bad	16		Negative balance	24	existing credits paid back duly till now	radio/television	1282	100 to < 500 DM	1 to < 4 years	4	female : divorced/separated/married	none	2	real estate	32	none	own	1	unskilled - resident	1	none	yes
good	17		No checking account	24	critical account/ other credits existing (not at this bank)	radio/television	2424	unknown/ no savings account	>= 7 years	4	male : single	none	4	car	53	none	own	2	skilled employee/ official	1	none	yes
good	18		Negative balance	30	no credits taken/ all credits paid back duly	business	8072	unknown/ no savings account	< 1 year	2	male : single	none	3	real estate	25	bank	own	3	skilled employee/ official	1	none	yes
bad	19		Low positive balance	24	existing credits paid back duly till now	car (used)	12579	< 100 DM	>= 7 years	4	female : divorced/separated/married	none	2	savings agreement/life insurance	44	none	for free	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	20		No checking account	24	existing credits paid back duly till now	radio/television	3430	500 to < 1000 DM	>= 7 years	3	male : single	none	2	real estate	31	none	own	1	skilled employee/ official	2	yes, registered under the customers name	yes
good	21		No checking account	9	critical account/ other credits existing (not at this bank)	car (new)	2134	< 100 DM	1 to < 4 years	4	male : single	none	4	real estate	48	none	own	3	skilled employee/ official	1	yes, registered under the customers name	yes
good	22		Negative balance	6	existing credits paid back duly till now	radio/television	2647	500 to < 1000 DM	1 to < 4 years	2	male : single	none	3	none	44	none	rent	1	skilled employee/ official	2	none	yes
good	23		Negative balance	10	critical account/ other credits existing (not at this bank)	car (new)	2241	< 100 DM	< 1 year	1	male : single	none	3	none	48	none	rent	2	unskilled - resident	2	none	no
good	24		Low positive balance	12	critical account/ other credits existing (not at this bank)	car (used)	1804	100 to < 500 DM	< 1 year	3	male : single	none	4	car	44	none	own	1	skilled employee/ official	1	none	yes
good	25		No checking account	10	critical account/ other credits existing (not at this bank)	furniture/equipment	2069	unknown/ no savings account	1 to < 4 years	2	male : married/widowed	none	1	real estate	26	none	own	2	skilled employee/ official	1	none	no
good	26		Negative balance	6	existing credits paid back duly till now	furniture/equipment	1374	< 100 DM	1 to < 4 years	1	male : single	none	2	none	36	bank	own	1	unskilled - resident	1	yes, registered under the customers name	yes
good	27		No checking account	6	no credits taken/ all credits paid back duly	radio/television	426	< 100 DM	>= 7 years	4	male : married/widowed	none	4	real estate	39	none	own	1	unskilled - resident	1	none	yes
good	28		High positive balance	12	all credits at this bank paid back duly	radio/television	409	>= 1000 DM	1 to < 4 years	3	female : divorced/separated/married	none	3	none	42	none	rent	2	skilled employee/ official	1	none	yes
good	29		Low positive balance	7	existing credits paid back duly till now	radio/television	2415	< 100 DM	1 to < 4 years	3	male : single	guarantor	2	none	34	none	own	1	skilled employee/ official	1	none	yes
bad	30		Negative balance	60	delay in paying off in the past	business	6836	< 100 DM	>= 7 years	3	male : single	none	4	savings agreement/life insurance	63	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	31		Low positive balance	18	existing credits paid back duly till now	business	1913	>= 1000 DM	< 1 year	3	male : married/widowed	none	3	none	36	bank	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	32		Negative balance	24	existing credits paid back duly till now	furniture/equipment	4020	< 100 DM	1 to < 4 years	2	male : single	none	2	real estate	27	stores	own	1	skilled employee/ official	1	none	yes
good	33		Low positive balance	18	existing credits paid back duly till now	car (new)	5866	100 to < 500 DM	1 to < 4 years	2	male : single	none	2	real estate	30	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	34		No checking account	12	critical account/ other credits existing (not at this bank)	business	1264	unknown/ no savings account	>= 7 years	4	male : single	none	4	savings agreement/life insurance	57	none	rent	1	unskilled - resident	1	none	yes
good	35		High positive balance	12	existing credits paid back duly till now	furniture/equipment	1474	< 100 DM	< 1 year	4	female : divorced/separated/married	none	1	car	33	bank	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	36		Low positive balance	45	critical account/ other credits existing (not at this bank)	radio/television	4746	< 100 DM	< 1 year	4	male : single	none	2	car	25	none	own	2	unskilled - resident	1	none	yes
good	37		No checking account	48	critical account/ other credits existing (not at this bank)	education	6110	< 100 DM	1 to < 4 years	1	male : single	none	3	savings agreement/life insurance	31	bank	for free	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	38		High positive balance	18	existing credits paid back duly till now	radio/television	2100	< 100 DM	1 to < 4 years	4	male : single	co-applicant	2	none	37	stores	own	1	skilled employee/ official	1	none	yes
good	39		High positive balance	10	existing credits paid back duly till now	domestic appliances	1225	< 100 DM	1 to < 4 years	2	male : single	none	2	real estate	37	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	40		Low positive balance	9	existing credits paid back duly till now	radio/television	458	< 100 DM	1 to < 4 years	4	male : single	none	3	none	24	none	own	1	skilled employee/ official	1	none	yes
good	41		No checking account	30	existing credits paid back duly till now	radio/television	2333	500 to < 1000 DM	>= 7 years	4	male : single	none	2	real estate	30	bank	own	1	management/ self-employed/highly qualified employee	1	none	yes
good	42		Low positive balance	12	existing credits paid back duly till now	radio/television	1158	500 to < 1000 DM	1 to < 4 years	3	male : divorced/separated	none	1	real estate	26	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	43		Low positive balance	18	delay in paying off in the past	repairs	6204	< 100 DM	1 to < 4 years	2	male : single	none	4	none	44	none	own	1	unskilled - resident	2	yes, registered under the customers name	yes
good	44		Negative balance	30	critical account/ other credits existing (not at this bank)	car (used)	6187	100 to < 500 DM	4 to < 7 years	1	male : married/widowed	none	4	real estate	24	none	rent	2	skilled employee/ official	1	none	yes
bad	45		Negative balance	48	critical account/ other credits existing (not at this bank)	car (used)	6143	< 100 DM	>= 7 years	4	female : divorced/separated/married	none	4	savings agreement/life insurance	58	stores	for free	2	unskilled - resident	1	none	yes
good	46		No checking account	11	critical account/ other credits existing (not at this bank)	car (new)	1393	< 100 DM	< 1 year	4	female : divorced/separated/married	none	4	real estate	35	none	own	2	management/ self-employed/highly qualified employee	1	none	yes
good	47		No checking account	36	existing credits paid back duly till now	radio/television	2299	500 to < 1000 DM	>= 7 years	4	male : single	none	4	real estate	39	none	own	1	skilled employee/ official	1	none	yes
good	48		Negative balance	6	existing credits paid back duly till now	car (used)	1352	500 to < 1000 DM	unemployed	1	female : divorced/separated/married	none	2	car	23	none	rent	1	unemployed/ unskilled - non-resident	1	yes, registered under the customers name	yes
good	49		No checking account	11	critical account/ other credits existing (not at this bank)	car (new)	7228	< 100 DM	1 to < 4 years	1	male : single	none	4	car	39	none	own	2	unskilled - resident	1	none	yes
good	50		No checking account	12	existing credits paid back duly till now	radio/television	2073	100 to < 500 DM	1 to < 4 years	4	female : divorced/separated/married	co-applicant	2	none	28	none	own	1	skilled employee/ official	1	none	yes
good	51		Low positive balance	24	delay in paying off in the past	furniture/equipment	2333	unknown/ no savings account	< 1 year	4	male : single	none	2	car	29	bank	own	1	unskilled - resident	1	none	yes
good	52		Low positive balance	27	delay in paying off in the past	car (used)	5965	< 100 DM	>= 7 years	1	male : single	none	2	real estate	30	none	own	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	53		No checking account	12	existing credits paid back duly till now	radio/television	1262	< 100 DM	1 to < 4 years	3	male : single	none	2	real estate	25	none	own	1	skilled employee/ official	1	none	yes
good	54		No checking account	18	existing credits paid back duly till now	car (used)	3378	unknown/ no savings account	1 to < 4 years	2	male : single	none	1	car	31	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	55		Low positive balance	36	delay in paying off in the past	car (new)	2225	< 100 DM	>= 7 years	4	male : single	none	4	savings agreement/life insurance	57	bank	for free	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	56		No checking account	6	all credits at this bank paid back duly	car (new)	783	unknown/ no savings account	1 to < 4 years	1	male : single	guarantor	2	none	26	stores	own	1	unskilled - resident	2	none	yes
bad	57		Low positive balance	12	existing credits paid back duly till now	radio/television	6468	unknown/ no savings account	unemployed	2	male : single	none	1	savings agreement/life insurance	52	none	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	58		No checking account	36	critical account/ other credits existing (not at this bank)	radio/television	9566	< 100 DM	1 to < 4 years	2	female : divorced/separated/married	none	2	real estate	31	stores	own	2	skilled employee/ official	1	none	yes
good	59		High positive balance	18	existing credits paid back duly till now	car (new)	1961	< 100 DM	>= 7 years	3	female : divorced/separated/married	none	2	real estate	23	none	own	1	management/ self-employed/highly qualified employee	1	none	yes
bad	60		Negative balance	36	critical account/ other credits existing (not at this bank)	furniture/equipment	6229	< 100 DM	< 1 year	4	female : divorced/separated/married	co-applicant	4	savings agreement/life insurance	23	none	rent	2	unskilled - resident	1	yes, registered under the customers name	yes
good	61		Low positive balance	9	existing credits paid back duly till now	business	1391	< 100 DM	1 to < 4 years	2	male : married/widowed	none	1	none	27	bank	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	62		Low positive balance	15	critical account/ other credits existing (not at this bank)	radio/television	1537	unknown/ no savings account	>= 7 years	4	male : single	guarantor	4	none	50	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
bad	63		Low positive balance	36	no credits taken/ all credits paid back duly	business	1953	< 100 DM	>= 7 years	4	male : single	none	4	savings agreement/life insurance	61	none	for free	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	64		Low positive balance	48	no credits taken/ all credits paid back duly	business	14421	< 100 DM	1 to < 4 years	2	male : single	none	2	real estate	25	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	65		No checking account	24	existing credits paid back duly till now	radio/television	3181	< 100 DM	< 1 year	4	female : divorced/separated/married	none	4	car	26	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	66		No checking account	27	existing credits paid back duly till now	repairs	5190	unknown/ no savings account	>= 7 years	4	male : single	none	4	car	48	none	own	4	skilled employee/ official	2	yes, registered under the customers name	yes
good	67		No checking account	12	existing credits paid back duly till now	radio/television	2171	< 100 DM	< 1 year	2	female : divorced/separated/married	none	2	real estate	29	bank	own	1	skilled employee/ official	1	none	yes
good	68		Low positive balance	12	existing credits paid back duly till now	car (new)	1007	>= 1000 DM	1 to < 4 years	4	male : married/widowed	none	1	none	22	none	own	1	skilled employee/ official	1	none	yes
bad	69		No checking account	36	existing credits paid back duly till now	education	1819	< 100 DM	1 to < 4 years	4	male : single	none	4	savings agreement/life insurance	37	stores	for free	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	70		No checking account	36	existing credits paid back duly till now	radio/television	2394	unknown/ no savings account	1 to < 4 years	4	female : divorced/separated/married	none	4	real estate	25	none	own	1	skilled employee/ official	1	none	yes
good	71		No checking account	36	existing credits paid back duly till now	car (used)	8133	< 100 DM	1 to < 4 years	1	female : divorced/separated/married	none	2	car	30	bank	own	1	skilled employee/ official	1	none	yes
good	72		No checking account	7	critical account/ other credits existing (not at this bank)	radio/television	730	unknown/ no savings account	>= 7 years	4	male : single	none	2	car	46	none	rent	2	unskilled - resident	1	yes, registered under the customers name	yes
good	73		Negative balance	8	critical account/ other credits existing (not at this bank)	others	1164	< 100 DM	>= 7 years	3	male : single	none	4	savings agreement/life insurance	51	bank	for free	2	management/ self-employed/highly qualified employee	2	yes, registered under the customers name	yes
good	74		Low positive balance	42	critical account/ other credits existing (not at this bank)	business	5954	< 100 DM	4 to < 7 years	2	female : divorced/separated/married	none	1	none	41	bank	own	2	unskilled - resident	1	none	yes
bad	75		Negative balance	36	existing credits paid back duly till now	education	1977	unknown/ no savings account	>= 7 years	4	male : single	none	4	savings agreement/life insurance	40	none	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	76		Negative balance	12	critical account/ other credits existing (not at this bank)	car (used)	1526	< 100 DM	>= 7 years	4	male : single	none	4	savings agreement/life insurance	66	none	for free	2	management/ self-employed/highly qualified employee	1	none	yes
bad	77		Negative balance	42	existing credits paid back duly till now	radio/television	3965	< 100 DM	< 1 year	4	male : single	none	3	real estate	34	none	own	1	skilled employee/ official	1	none	yes
good	78		Low positive balance	11	delay in paying off in the past	radio/television	4771	< 100 DM	4 to < 7 years	2	male : single	none	4	car	51	none	own	1	skilled employee/ official	1	none	yes
good	79		No checking account	54	no credits taken/ all credits paid back duly	car (used)	9436	unknown/ no savings account	1 to < 4 years	2	male : single	none	2	car	39	none	own	1	unskilled - resident	2	none	yes
good	80		Low positive balance	30	existing credits paid back duly till now	furniture/equipment	3832	< 100 DM	< 1 year	2	male : married/widowed	none	1	car	22	none	own	1	skilled employee/ official	1	none	yes
bad	81		No checking account	24	existing credits paid back duly till now	radio/television	5943	unknown/ no savings account	< 1 year	1	female : divorced/separated/married	none	1	real estate	44	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	82		No checking account	15	existing credits paid back duly till now	radio/television	1213	500 to < 1000 DM	>= 7 years	4	male : single	none	3	car	47	stores	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	83		No checking account	18	existing credits paid back duly till now	business	1568	100 to < 500 DM	1 to < 4 years	3	female : divorced/separated/married	none	4	car	24	none	rent	1	unskilled - resident	1	none	yes
good	84		Negative balance	24	existing credits paid back duly till now	others	1755	< 100 DM	>= 7 years	4	female : divorced/separated/married	guarantor	4	none	58	none	own	1	unskilled - resident	1	yes, registered under the customers name	yes
good	85		Negative balance	10	existing credits paid back duly till now	radio/television	2315	< 100 DM	>= 7 years	3	male : single	none	4	none	52	none	own	1	unskilled - resident	1	none	yes
good	86		No checking account	12	critical account/ other credits existing (not at this bank)	business	1412	< 100 DM	1 to < 4 years	4	female : divorced/separated/married	guarantor	2	none	29	none	own	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	87		Low positive balance	18	critical account/ other credits existing (not at this bank)	furniture/equipment	1295	< 100 DM	< 1 year	4	female : divorced/separated/married	none	1	car	27	none	own	2	skilled employee/ official	1	none	yes
bad	88		Low positive balance	36	existing credits paid back duly till now	education	12612	100 to < 500 DM	1 to < 4 years	1	male : single	none	4	savings agreement/life insurance	47	none	for free	1	skilled employee/ official	2	yes, registered under the customers name	yes
good	89		Negative balance	18	existing credits paid back duly till now	car (new)	2249	100 to < 500 DM	4 to < 7 years	4	male : single	none	3	real estate	30	none	own	1	management/ self-employed/highly qualified employee	2	yes, registered under the customers name	yes
bad	90		Negative balance	12	no credits taken/ all credits paid back duly	repairs	1108	< 100 DM	4 to < 7 years	4	male : single	none	3	none	28	none	own	2	skilled employee/ official	1	none	yes
good	91		No checking account	12	critical account/ other credits existing (not at this bank)	radio/television	618	< 100 DM	>= 7 years	4	male : single	none	4	none	56	none	own	1	skilled employee/ official	1	none	yes
good	92		Negative balance	12	critical account/ other credits existing (not at this bank)	car (used)	1409	< 100 DM	>= 7 years	4	male : single	none	3	none	54	none	own	1	skilled employee/ official	1	none	yes
bad	93		No checking account	12	critical account/ other credits existing (not at this bank)	radio/television	797	unknown/ no savings account	>= 7 years	4	female : divorced/separated/married	none	3	car	33	bank	own	1	unskilled - resident	2	none	yes
good	94		High positive balance	24	critical account/ other credits existing (not at this bank)	furniture/equipment	3617	unknown/ no savings account	>= 7 years	4	male : single	co-applicant	4	savings agreement/life insurance	20	none	rent	2	skilled employee/ official	1	none	yes
good	95		Low positive balance	12	existing credits paid back duly till now	car (new)	1318	>= 1000 DM	>= 7 years	4	male : single	none	4	none	54	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	96		Low positive balance	54	no credits taken/ all credits paid back duly	business	15945	< 100 DM	< 1 year	3	male : single	none	4	savings agreement/life insurance	58	none	rent	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	97		No checking account	12	critical account/ other credits existing (not at this bank)	education	2012	unknown/ no savings account	4 to < 7 years	4	female : divorced/separated/married	none	2	real estate	61	none	own	1	skilled employee/ official	1	none	yes
good	98		Low positive balance	18	existing credits paid back duly till now	business	2622	100 to < 500 DM	1 to < 4 years	4	male : single	none	4	real estate	34	none	own	1	skilled employee/ official	1	none	yes
good	99		Low positive balance	36	critical account/ other credits existing (not at this bank)	radio/television	2337	< 100 DM	>= 7 years	4	male : single	none	4	none	36	none	own	1	skilled employee/ official	1	none	yes
good	100		Low positive balance	20	delay in paying off in the past	car (used)	7057	unknown/ no savings account	4 to < 7 years	3	male : single	none	4	car	36	bank	rent	2	management/ self-employed/highly qualified employee	2	yes, registered under the customers name	yes
good	101		No checking account	24	existing credits paid back duly till now	car (new)	1469	100 to < 500 DM	>= 7 years	4	male : married/widowed	none	4	none	41	none	rent	1	unskilled - resident	1	none	yes
good	102		Low positive balance	36	existing credits paid back duly till now	radio/television	2323	< 100 DM	4 to < 7 years	4	male : single	none	4	real estate	24	none	rent	1	skilled employee/ official	1	none	yes
good	103		No checking account	6	delay in paying off in the past	radio/television	932	< 100 DM	1 to < 4 years	3	female : divorced/separated/married	none	2	none	24	none	own	1	skilled employee/ official	1	none	yes
good	104		Low positive balance	9	critical account/ other credits existing (not at this bank)	furniture/equipment	1919	< 100 DM	4 to < 7 years	4	male : single	none	3	real estate	35	none	rent	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	105		No checking account	12	existing credits paid back duly till now	car (used)	2445	unknown/ no savings account	< 1 year	2	male : married/widowed	none	4	real estate	26	none	rent	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	106		Low positive balance	24	critical account/ other credits existing (not at this bank)	others	11938	< 100 DM	1 to < 4 years	2	male : single	co-applicant	3	real estate	39	none	own	2	management/ self-employed/highly qualified employee	2	yes, registered under the customers name	yes
bad	107		No checking account	18	all credits at this bank paid back duly	car (new)	6458	< 100 DM	>= 7 years	2	male : single	none	4	savings agreement/life insurance	39	bank	own	2	management/ self-employed/highly qualified employee	2	yes, registered under the customers name	yes
good	108		Low positive balance	12	existing credits paid back duly till now	car (new)	6078	< 100 DM	4 to < 7 years	2	male : single	none	2	real estate	32	none	own	1	skilled employee/ official	1	none	yes
good	109		Negative balance	24	existing credits paid back duly till now	furniture/equipment	7721	unknown/ no savings account	< 1 year	1	female : divorced/separated/married	none	2	car	30	none	own	1	skilled employee/ official	1	yes, registered under the customers name	no
good	110		Low positive balance	14	existing credits paid back duly till now	business	1410	500 to < 1000 DM	>= 7 years	1	male : married/widowed	none	2	none	35	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	111		Low positive balance	6	delay in paying off in the past	business	1449	100 to < 500 DM	>= 7 years	1	male : divorced/separated	none	2	real estate	31	bank	own	2	skilled employee/ official	2	none	yes
good	112		High positive balance	15	existing credits paid back duly till now	education	392	< 100 DM	< 1 year	4	female : divorced/separated/married	none	4	car	23	none	rent	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	113		Low positive balance	18	existing credits paid back duly till now	car (new)	6260	< 100 DM	4 to < 7 years	3	male : single	none	3	none	28	none	rent	1	unskilled - resident	1	none	yes
bad	114		No checking account	36	critical account/ other credits existing (not at this bank)	car (new)	7855	< 100 DM	1 to < 4 years	4	female : divorced/separated/married	none	2	none	25	stores	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	115		Negative balance	12	existing credits paid back duly till now	radio/television	1680	500 to < 1000 DM	>= 7 years	3	male : married/widowed	none	1	none	35	none	own	1	skilled employee/ official	1	none	yes
good	116		No checking account	48	critical account/ other credits existing (not at this bank)	radio/television	3578	unknown/ no savings account	>= 7 years	4	male : single	none	1	none	47	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	117		Negative balance	42	existing credits paid back duly till now	radio/television	7174	unknown/ no savings account	4 to < 7 years	4	female : divorced/separated/married	none	3	real estate	30	none	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	118		Negative balance	10	critical account/ other credits existing (not at this bank)	furniture/equipment	2132	unknown/ no savings account	< 1 year	2	female : divorced/separated/married	co-applicant	3	none	27	none	rent	2	skilled employee/ official	1	none	no
bad	119		Negative balance	33	critical account/ other credits existing (not at this bank)	furniture/equipment	4281	500 to < 1000 DM	1 to < 4 years	1	female : divorced/separated/married	none	4	real estate	23	none	own	2	skilled employee/ official	1	none	yes
good	120		Low positive balance	12	critical account/ other credits existing (not at this bank)	car (new)	2366	500 to < 1000 DM	4 to < 7 years	3	male : divorced/separated	none	3	real estate	36	none	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	121		Negative balance	21	existing credits paid back duly till now	radio/television	1835	< 100 DM	1 to < 4 years	3	female : divorced/separated/married	none	2	none	25	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	122		No checking account	24	critical account/ other credits existing (not at this bank)	car (used)	3868	< 100 DM	>= 7 years	4	female : divorced/separated/married	none	2	real estate	41	none	rent	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	123		No checking account	12	existing credits paid back duly till now	furniture/equipment	1768	< 100 DM	1 to < 4 years	3	male : single	none	2	none	24	none	rent	1	unskilled - resident	1	none	yes
good	124		High positive balance	10	critical account/ other credits existing (not at this bank)	car (new)	781	< 100 DM	>= 7 years	4	male : single	none	4	savings agreement/life insurance	63	none	for free	2	skilled employee/ official	1	yes, registered under the customers name	yes
bad	125		Low positive balance	18	existing credits paid back duly till now	furniture/equipment	1924	unknown/ no savings account	< 1 year	4	female : divorced/separated/married	none	3	none	27	none	rent	1	skilled employee/ official	1	none	yes
good	126		Negative balance	12	critical account/ other credits existing (not at this bank)	car (new)	2121	< 100 DM	1 to < 4 years	4	male : single	none	2	car	30	none	own	2	skilled employee/ official	1	none	yes
good	127		Negative balance	12	existing credits paid back duly till now	radio/television	701	< 100 DM	1 to < 4 years	4	male : married/widowed	none	2	none	40	none	own	1	unskilled - resident	1	none	yes
bad	128		Low positive balance	12	existing credits paid back duly till now	repairs	639	< 100 DM	1 to < 4 years	4	male : single	none	2	real estate	30	none	own	1	skilled employee/ official	1	none	yes
good	129		Low positive balance	12	critical account/ other credits existing (not at this bank)	car (used)	1860	< 100 DM	unemployed	4	male : single	none	2	real estate	34	none	own	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	130		Negative balance	12	critical account/ other credits existing (not at this bank)	car (new)	3499	< 100 DM	1 to < 4 years	3	female : divorced/separated/married	co-applicant	2	none	29	none	own	2	skilled employee/ official	1	none	yes
good	131		Low positive balance	48	existing credits paid back duly till now	car (new)	8487	unknown/ no savings account	4 to < 7 years	1	female : divorced/separated/married	none	2	real estate	24	none	own	1	skilled employee/ official	1	none	yes
bad	132		Negative balance	36	delay in paying off in the past	education	6887	< 100 DM	1 to < 4 years	4	male : single	none	3	car	29	stores	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	133		No checking account	15	existing credits paid back duly till now	furniture/equipment	2708	< 100 DM	< 1 year	2	male : single	none	3	car	27	bank	own	2	unskilled - resident	1	none	yes
good	134		No checking account	18	existing credits paid back duly till now	furniture/equipment	1984	< 100 DM	1 to < 4 years	4	male : single	none	4	savings agreement/life insurance	47	bank	for free	2	skilled employee/ official	1	none	yes
good	135		No checking account	60	existing credits paid back duly till now	radio/television	10144	100 to < 500 DM	4 to < 7 years	2	female : divorced/separated/married	none	4	none	21	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	136		No checking account	12	critical account/ other credits existing (not at this bank)	radio/television	1240	unknown/ no savings account	>= 7 years	4	female : divorced/separated/married	none	2	none	38	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	137		No checking account	27	delay in paying off in the past	car (used)	8613	>= 1000 DM	1 to < 4 years	2	male : single	none	2	real estate	27	none	own	2	skilled employee/ official	1	none	yes
